,island,sent_number,token,critical,surprisal
2,0,11,購入,0,7.209545135498050
3,0,11,し,0,0.9832459688186650
4,0,11,た,0,1.041022777557370
5,0,11,こと,0,3.3503293991088900
6,0,11,が,0,1.7300403118133500
7,0,11,先日,0,11.454999923706100
8,0,11,公表,0,10.172160148620600
9,0,11,さ,0,2.842559814453130
10,0,11,れ,0,0.35609233379364000
11,0,11,た,0,1.1115490198135400
12,0,11,美術,1,11.007802963256800
13,0,11,館,1,13.324503898620600
14,0,11,長,1,6.114838123321530
15,0,11,は,1,1.7647700309753400
16,0,11,展示,1,8.8811674118042
17,0,11,会,1,6.904322624206540
18,0,11,を,1,2.433375835418700
19,0,11,計画,1,8.315984725952150
20,0,11,し,1,1.0690181255340600
21,0,11,た,1,1.0923352241516100
22,0,11,。,1,0.3055005371570590
23,0,11,</s>,1,2.7309975624084500
0,0,12,芝居,0,10.57341194152830
1,0,12,を,0,4.182017803192140
2,0,12,演じ,0,7.239729881286620
3,0,12,た,0,1.1354970932006800
4,0,12,こと,0,2.9857568740844700
5,0,12,が,0,1.57241690158844
6,0,12,連日,0,10.113561630249000
7,0,12,マスコミ,0,11.627752304077100
8,0,12,に,0,1.6429088115692100
9,0,12,報道,0,9.430150985717770
10,0,12,さ,0,2.6448121070861800
11,0,12,れ,0,0.45558857917785600
12,0,12,た,0,1.0391020774841300
13,0,12,役者,1,11.45508861541750
14,0,12,は,1,2.5594029426574700
15,0,12,海外,1,8.059693336486820
16,0,12,に,1,2.776965618133550
17,0,12,招待,1,9.422514915466310
18,0,12,さ,1,2.0698494911193800
19,0,12,れ,1,0.30609145760536200
20,0,12,た,1,1.0722935199737500
21,0,12,。,1,0.48767486214637800
22,0,12,</s>,1,2.6161906719207800
0,0,13,新,0,7.574187755584720
1,0,13,製品,0,8.247720718383790
2,0,13,を,0,3.005125045776370
3,0,13,開発,0,7.19942569732666
4,0,13,し,0,0.8917932510375980
5,0,13,た,0,0.9580493569374080
6,0,13,こと,0,3.252037525177000
7,0,13,が,0,1.8063805103302000
